d_electrode[mm], C0[F]
0.001,-2.36350E-012
0.002,-2.19000E-012
0.003,-2.08850E-012
0.004,-2.01650E-012
0.005,-1.96070E-012
0.006,-1.91510E-012
0.007,-1.87660E-012
0.008,-1.84320E-012
0.009,-1.81370E-012
0.01,-1.78740E-012
0.011,-1.76350E-012
0.012,-1.74180E-012
0.013,-1.72180E-012
0.014,-1.70330E-012
0.015,-1.68600E-012
0.016,-1.66990E-012
0.017,-1.65480E-012
0.018,-1.64050E-012
0.019,-1.62700E-012
0.02,-1.61420E-012
0.021,-1.60200E-012
0.022,-1.59040E-012
0.023,-1.57930E-012
0.024,-1.56870E-012
0.025,-1.55850E-012
0.026,-1.54870E-012
0.027,-1.53930E-012
0.028,-1.53020E-012
0.029,-1.52140E-012
0.03,-1.51300E-012
0.031,-1.50480E-012
0.032,-1.49690E-012
0.033,-1.48920E-012
0.034,-1.48180E-012
0.035,-1.47450E-012
0.036,-1.46750E-012
0.037,-1.46070E-012
0.038,-1.45410E-012
0.039,-1.44760E-012
0.04,-1.44120E-012
0.041,-1.43510E-012
0.042,-1.42910E-012
0.043,-1.42320E-012
0.044,-1.41750E-012
0.045,-1.41190E-012
0.046,-1.40650E-012
0.047,-1.40110E-012
0.048,-1.39580E-012
0.049,-1.39070E-012
0.05,-1.38570E-012
0.051,-1.38080E-012
0.052,-1.37590E-012
0.053,-1.37120E-012
0.054,-1.36650E-012
0.055,-1.36200E-012
0.056,-1.35750E-012
0.057,-1.35310E-012
0.058,-1.34880E-012
0.059,-1.34450E-012
0.06,-1.34030E-012
0.061,-1.33620E-012
0.062,-1.33210E-012
0.063,-1.32820E-012
0.064,-1.32430E-012
0.065,-1.32040E-012
0.066,-1.31660E-012
0.067,-1.31290E-012
0.068,-1.30920E-012
0.069,-1.30560E-012
0.07,-1.30200E-012
0.071,-1.29850E-012
0.072,-1.29500E-012
0.073,-1.29150E-012
0.074,-1.28820E-012
0.075,-1.28480E-012
0.076,-1.28150E-012
0.077,-1.27830E-012
0.078,-1.27510E-012
0.079,-1.27190E-012
0.08,-1.26880E-012
0.081,-1.26570E-012
0.082,-1.26270E-012
0.083,-1.25970E-012
0.084,-1.25670E-012
