% R          % E

0.200         27.921319
0.400        -67.498989
0.600        -91.165938
0.900       -102.971946
1.200       -107.420106
1.300       -108.140996
1.400       -108.646138
1.500       -108.995465
1.600       -109.232360
1.700       -109.388270
1.800       -109.486008
1.900       -109.542196
2.000       -109.568913
2.087       -109.575154
2.3         -109.549513
2.5         -109.498952
2.7         -109.440520
3.000       -109.354908
3.5         -109.236664
4.000       -109.150819
4.4         -109.101074         
5.000       -109.049559
5.500       -109.021588
6.000       -109.002753
10          -108.966691
15          -108.965386
