% Kation
% R   % E



0.2         28.208867
0.4        -67.313969
0.6        -91.029753
0.7        -96.322639
0.8        -99.941829
0.9       -102.528047
1.0       -104.462579
1.1       -105.873955
1.2       -106.872154
1.3       -107.572609
1.4       -108.051139
1.5       -108.404485
1.6       -108.645703       
1.7       -108.805810
1.8       -108.907434
1.9       -108.967183
2.0       -108.997179       
2.108     -109.006410
2.2       -109.001272
2.3       -108.986704
2.4       -108.966176
2.5       -108.942194
2.6       -108.916561
2.7       -108.890526
2.8       -108.864914
3.0       -108.828332
3.2       -108.801793
%3.5       -108.722397
3.7       -108.763312
4.0       -108.750282
10        -108.730569
15        -108.738672
